brand,parent_company,species_focus,product_types,market_tier,owns_or_comfg,hq_country,website,best_evidence_status,best_source_type,best_source_url,data_confidence,review_status,accessed_date,notes
Purina Pro Plan,Nestlé Purina PetCare,both,"dry,wet,treat",premium,owns,USA,https://www.purina.com/pro-plan,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Purina ONE,Nestlé Purina PetCare,both,"dry,wet",mainstream,owns,USA,https://www.purina.com/one,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Purina Dog Chow,Nestlé Purina PetCare,dog,"dry,wet",value,owns,USA,https://www.purina.com/dog-chow,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Purina Cat Chow,Nestlé Purina PetCare,cat,"dry,wet",value,owns,USA,https://www.purina.com/cat-chow,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Friskies,Nestlé Purina PetCare,cat,"wet,dry",value,owns,USA,https://www.purina.com/friskies,needs_review,third_party_lab_summary,https://labs.naturalnews.com/heavy-metals-chart-Foods-Pet-Foods.html,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Fancy Feast,Nestlé Purina PetCare,cat,wet,mainstream,owns,USA,https://www.purina.com/fancy-feast,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Beneful,Nestlé Purina PetCare,dog,"dry,wet",mainstream,owns,USA,https://www.purina.com/beneful,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Alpo,Nestlé Purina PetCare,dog,"dry,wet",value,owns,USA,https://www.purina.com/alpo,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Beyond,Nestlé Purina PetCare,both,"dry,wet",premium,owns,USA,https://www.purina.com/beyond,not_researched,,,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Pedigree,Mars Petcare,dog,"dry,wet,treat",value,owns,USA,https://www.pedigree.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Royal Canin,Mars Petcare,both,"dry,wet",premium,owns,France/USA,https://www.royalcanin.com/us,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Whiskas,Mars Petcare,cat,"dry,wet",value,owns,USA,https://www.whiskas.com,no_public_coa_found,no_public_coa_found,https://www.royalcanin.com/us/about-us/quality-and-food-safety,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Sheba,Mars Petcare,cat,wet,mainstream,owns,USA,https://www.sheba.com,no_public_coa_found,no_public_coa_found,https://www.royalcanin.com/us/about-us/quality-and-food-safety,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Cesar,Mars Petcare,dog,wet,mainstream,owns,USA,https://www.cesar.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Iams,Mars Petcare,both,"dry,wet",mainstream,owns,USA,https://www.iams.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Eukanuba,Mars Petcare,dog,dry,premium,owns,USA,https://www.eukanuba.com,no_public_coa_found,no_public_coa_found,https://en.wikipedia.org/wiki/Eukanuba,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Nutro,Mars Petcare,both,"dry,wet",premium,owns,USA,https://www.nutro.com,brand_claim,brand_marketing_claim,https://www.nutro.com/about-us/pet-food-safety-and-quality,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Greenies,Mars Petcare,both,"treat,dental",premium,owns,USA,https://www.greenies.com,brand_claim,brand_marketing_claim,https://www.greenies.com/blogs/what-were-barking-about-greenies/the-importance-of-canine-dental-health,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Temptations,Mars Petcare,cat,treat,mainstream,owns,USA,https://www.temptationstreats.com,not_researched,,,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Crave,Mars Petcare,both,"dry,wet,treat",premium,owns,USA,https://www.cravepetfoods.com,not_researched,,,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Nom Nom,Mars Petcare (majority),both,fresh,super-premium/fresh,owns,USA,https://www.nomnomnow.com,brand_claim,brand_marketing_claim,https://www.nomnomnow.com/vet/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Hill's Science Diet,Colgate-Palmolive (Hill's Pet Nutrition),both,"dry,wet",premium,owns,USA,https://www.hillspet.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Hill's Prescription Diet,Colgate-Palmolive (Hill's Pet Nutrition),both,"dry,wet",therapeutic,owns,USA,https://www.hillspet.com/prescription-diet,no_public_coa_found,no_public_coa_found,https://www.avma.org/javma-news/2020-02-15/update-fda-says-hills-failed-follow-own-procedures,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Blue Buffalo,General Mills,both,"dry,wet,treat",premium,co-manufactured,USA,https://bluebuffalo.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Meow Mix,J.M. Smucker,cat,"dry,wet,treat",value,owns,USA,https://www.meowmix.com,not_researched,,,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Milk-Bone,J.M. Smucker,dog,treat,mainstream,owns,USA,https://www.milkbone.com,brand_claim,brand_marketing_claim,https://www.milkbone.com/frequently-asked-questions,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Pup-Peroni,J.M. Smucker,dog,treat,mainstream,owns,USA,https://www.pupperoni.com,brand_claim,brand_marketing_claim,https://www.pupperoni.com/faqs,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
9Lives,Post Holdings (acq. 2023 from J.M. Smucker),cat,"dry,wet",value,co-manufactured,USA,https://www.9lives.com,not_researched,,,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Kibbles 'n Bits,Post Holdings (acq. 2023 from J.M. Smucker),dog,dry,value,co-manufactured,USA,https://www.kibblesnbits.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Nature's Recipe,Post Holdings (acq. 2023 from J.M. Smucker),dog,dry,mainstream,co-manufactured,USA,https://www.naturesrecipe.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Rachael Ray Nutrish,Post Holdings (acq. 2023 from J.M. Smucker),both,"dry,wet,treat",mainstream,co-manufactured,USA,https://www.nutrish.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Diamond Naturals,Diamond Pet Foods (Schell & Kampeter),both,"dry,wet",premium,owns,USA,https://www.diamondpet.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Taste of the Wild,Diamond Pet Foods,both,"dry,wet",premium,owns,USA,https://www.tasteofthewildpetfood.com,brand_claim,brand_marketing_claim,https://www.tasteofthewildpetfood.com/frequently-asked-questions/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Kirkland Signature,Costco (mfd by Diamond Pet Foods),both,"dry,wet",premium-value,co-manufactured,USA,https://www.costco.com,brand_claim,brand_marketing_claim,https://www.costco.com/sustainability-chemical-management.html,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Pure Balance,Walmart (private label),both,"dry,wet",premium-value,co-manufactured,USA,https://www.walmart.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Authority,PetSmart (private label),both,"dry,wet",premium-value,co-manufactured,USA,https://www.petsmart.com,no_public_coa_found,no_public_coa_found,https://cleanlabelproject.org/dog-food-category-tested-products/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
American Journey,"Chewy (private label, mfd by Diamond)",both,"dry,wet",premium-value,co-manufactured,USA,https://www.chewy.com,no_public_coa_found,no_public_coa_found,https://cleanlabelproject.org/dog-food-category-tested-products/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Wellness (WellPet),WellPet (Berwind),both,"dry,wet,treat",super-premium,owns,USA,https://www.wellnesspetfood.com,brand_claim,brand_level_lab_report,https://www.wellnesspetfood.com/testing-results/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Wellness CORE,WellPet (Berwind),both,"dry,wet",super-premium,owns,USA,https://www.wellnesspetfood.com/core,brand_claim,brand_level_lab_report,https://www.wellnesspetfood.com/testing-results/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Old Mother Hubbard,WellPet (Berwind),dog,treat,premium,owns,USA,https://www.wellnesspetfood.com/old-mother-hubbard,brand_claim,brand_marketing_claim,https://www.wellnesspetfood.com/old-mother-hubbard/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Merrick,Nestlé Purina PetCare,both,"dry,wet,treat",super-premium,owns,USA,https://www.merrickpetcare.com,brand_claim,brand_marketing_claim,https://www.merrickpetcare.com/faqs,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Zuke's,Nestlé Purina PetCare,both,treat,premium,owns,USA,https://www.zukes.com,brand_claim,brand_marketing_claim,https://www.zukes.com/faqs,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Orijen,Champion Petfoods (Mars Petcare),both,"dry,freeze-dried",super-premium,owns,Canada/USA,https://www.orijenpetfoods.com,brand_claim,brand_level_lab_report,https://championpetfoods.com/on/demandware.static/-/Sites-cpf-corp-Library/default/dw7ff1cd03/pdf/Champion%20Petfoods%20White%20Paper-Heavy%20Metals.pdf,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Acana,Champion Petfoods (Mars Petcare),both,"dry,freeze-dried",super-premium,owns,Canada/USA,https://www.acana.com,not_researched,,,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Canidae,Canidae (Ethos Pet Brands),both,"dry,wet",premium,owns,USA,https://www.canidae.com,no_public_coa_found,no_public_coa_found,https://www.canidae.com/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Natural Balance,Natural Balance Pet Foods,both,"dry,wet,treat",premium,co-manufactured,USA,https://www.naturalbalanceinc.com,needs_review,batch_lot_coa,https://www.naturalbalanceinc.com/feed-with-confidence/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Solid Gold,Solid Gold Pet,both,"dry,wet",super-premium,co-manufactured,USA,https://solidgoldpet.com,brand_claim,brand_marketing_claim,https://solidgoldpet.com/pages/disclosure,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Nulo,Nulo Pet Food,both,"dry,wet,freeze-dried",super-premium,co-manufactured,USA,https://nulo.com,brand_claim,brand_marketing_claim,https://nulo.com/our-standards,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Victor,Mid America Pet Food,both,dry,premium,owns,USA,https://victorpetfood.com,brand_claim,brand_marketing_claim,https://victorpetfood.com/quality-and-food-safety,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Zignature,Pets Global,dog,"dry,wet",super-premium,co-manufactured,USA,https://zignature.com,brand_claim,brand_marketing_claim,https://zignature.com/faqs/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Earthborn Holistic,Midwestern Pet Foods,both,"dry,wet",premium,owns,USA,https://www.earthbornholisticpetfood.com,brand_claim,brand_marketing_claim,https://www.earthbornholisticpetfood.com/quality-ingredients/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Fromm,Fromm Family Foods,both,"dry,wet,treat",super-premium,owns,USA,https://frommfamily.com,brand_claim,brand_marketing_claim,https://frommfamily.com/about/question-and-answer/food-safety/testing-quality-and-food-safety/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
NutriSource,KLN Family Brands (Tuffy's),both,"dry,wet",premium,owns,USA,https://nutrisourcepetfoods.com,no_public_coa_found,no_public_coa_found,https://nutrisourcepetfoods.com/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Instinct,Nature's Variety (Agrolimen),both,"raw,freeze-dried,dry",super-premium,owns,USA,https://instinctpetfood.com,brand_claim,brand_marketing_claim,https://instinctpetfood.com/faqs/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Stella & Chewy's,Stella & Chewy's,both,"freeze-dried,raw",super-premium,owns,USA,https://www.stellaandchewys.com,needs_review,batch_lot_coa,https://www.stellaandchewys.com/pages/coa,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Ziwi Peak,Ziwi Limited,both,"air-dried,canned",super-premium,owns,New Zealand,https://us.ziwipets.com,brand_claim,brand_marketing_claim,https://us.ziwipets.com/blogs/faq/what-testing-does-ziwi-peak-go-through,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Open Farm,Open Farm,both,"dry,wet,freeze-dried",super-premium,co-manufactured,Canada/USA,https://openfarmpet.com,needs_review,batch_lot_coa,https://openfarmpet.com/pages/transparency,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Halo,Halo Pets (Better Choice),both,"dry,wet",super-premium,co-manufactured,USA,https://halopets.com,brand_claim,brand_marketing_claim,https://halopets.com/pages/halo-holistic,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Tiki Cat / Tiki Dog,Whitebridge Pet Brands,both,"wet,canned",super-premium,co-manufactured,USA/Thailand,https://www.tikipets.com,brand_claim,brand_marketing_claim,https://www.catsexclusive.com/blog/tiki-cat-safe-sustainable,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Weruva,Weruva International,both,"wet,canned",super-premium,co-manufactured,USA/Thailand,https://www.weruva.com,brand_claim,brand_marketing_claim,https://www.weruva.com/tools/faq,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
The Honest Kitchen,The Honest Kitchen,both,"dehydrated,wet",super-premium,co-manufactured,USA,https://www.thehonestkitchen.com,brand_claim,brand_marketing_claim,https://www.thehonestkitchen.com/pages/quality-assurance,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
I and Love and You,I and Love and You,both,"dry,wet,treat",super-premium,co-manufactured,USA,https://iandloveandyou.com,brand_claim,brand_marketing_claim,https://iandloveandyou.com/pages/faq,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
The Farmer's Dog,The Farmer's Dog,dog,fresh,fresh/DTC,co-manufactured,USA,https://www.thefarmersdog.com,brand_claim,brand_marketing_claim,https://www.thefarmersdog.com/digest/heavy-metals-in-dog-food-what-you-need-to-know/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Ollie,Ollie Pets,dog,"fresh,baked",fresh/DTC,co-manufactured,USA,https://www.ollie.com,brand_claim,brand_marketing_claim,https://blog.ollie.com/pet-food-safety/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Smalls,Smalls,cat,fresh,fresh/DTC,co-manufactured,USA,https://www.smalls.com,brand_claim,brand_marketing_claim,https://www.smalls.com/blog/post/how-smalls-ensures-every-bite-is-safe-for-your-cat,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Sundays for Dogs,Sundays,dog,air-dried,fresh/DTC,co-manufactured,USA,https://sundaysfordogs.com,brand_claim,brand_marketing_claim,https://sundaysfordogs.com/ingredients,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Spot & Tango,Spot & Tango,dog,"fresh,unkibble",fresh/DTC,co-manufactured,USA,https://www.spotandtango.com,brand_claim,brand_marketing_claim,https://www.spotandtango.com/blog/aafco-certified-dog-foods,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
JustFoodForDogs,JustFoodForDogs,dog,"fresh,frozen",fresh,owns,USA,https://www.justfoodfordogs.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Freshpet,Freshpet Inc.,both,"fresh,refrigerated",fresh,owns,USA,https://www.freshpet.com,verified_lab,third_party_lab_summary,https://cleanlabelproject.org/dog-food-study/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Primal Pet Foods,Primal Pet Foods,both,"raw,freeze-dried",super-premium/raw,owns,USA,https://www.primalpetfoods.com,brand_claim,brand_marketing_claim,https://www.primalpetfoods.com/pages/quality-guarantee,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Vital Essentials,Carnivore Meat Company,both,"freeze-dried,raw",super-premium/raw,owns,USA,https://www.vitalessentials.com,brand_claim,brand_marketing_claim,https://www.vitalessentials.com/safety-commitment,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Steve's Real Food,Steve's Real Food,both,"raw,freeze-dried",super-premium/raw,co-manufactured,USA,https://stevesrealfood.com,brand_claim,brand_marketing_claim,https://stevesrealfood.com/how-is-steves-different/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Blue Dog Bakery,Blue Dog Bakery,dog,treat,premium,owns,USA,https://www.bluedogbakery.com,brand_claim,brand_marketing_claim,https://www.bluedogbakery.com/faq/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Charlee Bear,Gott Pet Products,dog,treat,premium,owns,USA,https://charleebear.com,brand_claim,brand_marketing_claim,https://charleebear.com/faqs/,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Full Moon,Perdue (Full Moon),dog,treat,premium,owns,USA,https://www.fullmoonpet.com,brand_claim,brand_marketing_claim,https://www.fullmoonpet.com/pages/full-moon-pet-faq,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Bocce's Bakery,Antelope (Bocce's),both,treat,premium,co-manufactured,USA,https://www.boccesbakery.com,brand_claim,brand_marketing_claim,https://antelopepets.gorgias.help/en-US/have-any-of-bocces-products-ever-been-recalled-1090925,medium,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
