brand,product,product_type,species,life_stage,source_url,source_type,lab_name,test_date,lot,substances,result_value,unit,status,evidence_level,evidence_status,notes,accessed_date,screenshot_pdf
Freshpet,Full portfolio (Clean Label Project Certified),fresh,both,,https://cleanlabelproject.org/dog-food-study/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; bisphenols; phthalates; acrylamide; pesticides; glyphosate,,,pass,brand,verified_lab,"Only brand listed as Clean Label Project CERTIFIED in the Feb-2026 ISO-17025 study (independent testing for 100+ contaminants). Brand-level certification, not a per-lot COA.",2026-06-25,
Clean Label Project,Dry dog food category average (50 samples),dry,dog,,https://cleanlabelproject.org/dog-food-study/,public_study,Ellipse Analytics (ISO 17025),2026-02-12,,lead; arsenic; cadmium; mercury,lead avg 180.1; arsenic avg 184.6; cadmium avg 68.5; mercury avg 3.8; max lead 1576.5,ppb,elevated,study,verified_lab,"Independent ISO-17025 study: dry dog food averaged ~12.7x more lead and ~5.7x more arsenic than the human-consumables benchmark; highest single lead sample 1,576.5 ppb.",2026-06-25,
Clean Label Project,Fresh/frozen dog food category average (18 samples),fresh,dog,,https://cleanlabelproject.org/dog-food-study/,public_study,Ellipse Analytics (ISO 17025),2026-02-12,,lead; arsenic; cadmium; mercury,lead avg 8.5; arsenic avg 13.9; cadmium avg 11.3; mercury avg 0.2,ppb,not_detected,study,verified_lab,"Fresh/frozen segment had the LOWEST contaminants of any segment, below the human-consumables benchmark; dry food had ~21x more lead than fresh/frozen.",2026-06-25,
Study: Kim et al. heavy metals in OTC dry dog foods,51 over-the-counter dry dog foods,dry,dog,,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2018.00264/full,public_study,"Frontiers in Veterinary Science, 2018",2018,,arsenic; cadmium; lead; mercury (ICP-MS),red-meat median Pb 0.091; As 0.037; Cd 0.013; Hg 0.0012,mg/Mcal,unknown,study,verified_lab,Frontiers in Vet Science 2018 (doi:10.3389/fvets.2018.00264). Fish diets higher As/Cd/Hg; red-meat diets higher Pb. Concluded foods generally safe for chronic consumption with occasional Pb outliers.,2026-06-25,
Study: Koestel et al. BPA in canned dog food,2 canned diets (one labeled BPA-free); 14 dogs,wet,dog,,https://www.cliniciansbrief.com/article/bisphenol-bpa-serum-pet-dogs-fed-canned-dog-food,public_study,"Science of the Total Environment, 2017",2017,,bisphenol A (BPA),serum BPA increased significantly in all dogs,ng/mL,elevated,study,verified_lab,Sci Total Environ 2017;579:1804-1814. Both canned diets contained BPA incl. the 'BPA-free' one; serum BPA rose significantly after 2 weeks and correlated with microbiome changes.,2026-06-25,
Study: Zhao et al. glyphosate in pet food (Cornell),"18 dog & cat foods, 8 manufacturers",dry,both,,https://news.cornell.edu/stories/2018/10/study-finds-glyphosate-cat-and-dog-food,public_study,"Environmental Pollution, 2018",2018,,glyphosate,~80 to 2000,ug/kg,unknown,study,verified_lab,Environmental Pollution 2018 (Cornell). ALL 18 feeds contained glyphosate incl. one GMO-free certified; levels ~ <1% of human acceptable daily intake.,2026-06-25,
Study: EWG PFAS in pet-food packaging,"11 bags, 7 popular brands",dry,both,,https://www.ewg.org/news-insights/news/2022/11/quibble-kibbles-forever-chemicals-pet-food-packaging-add-perils-home,public_study,"Environmental Working Group, 2022",2022-11-03,,"PFAS (PFBA, PFPeA, PFHxA, PFHpA, 6:2 FTCA, 6:2 diPAP, PFPrA); total fluorine",Purina Cat Chow 244.7 total PFAS; Kibbles 'n Bits 14.3,ppb,elevated,study,verified_lab,EWG Nov-2022 independent lab test of PACKAGING (total fluorine up to ~630 ppm); 7 PFAS detected. Purina Cat Chow Complete Chicken highest total PFAS (244.7 ppb). Migration into food not confirmed.,2026-06-25,
Study/Recall: FDA Sportmix aflatoxin (Midwestern Pet Foods),"Sportmix, Pro Pac, Nunn Better lots",dry,both,,https://www.fda.gov/animal-veterinary/outbreaks-and-advisories/fda-alert-certain-lots-sportmix-pet-food-recalled-potentially-fatal-levels-aflatoxin,public_study,"U.S. FDA / Missouri Dept. of Agriculture, 2021",2021-01-26,EXP <=07/09/22 with '05' Oklahoma plant code,aflatoxins,up to 558 (threshold 20),ppb,fail,study,verified_lab,FDA/Missouri Dept Ag 2021: samples up to 558 ppb aflatoxin vs 20 ppb adulteration threshold; >130 dog deaths. Government lab-confirmed.,2026-06-25,
Wellness (WellPet),Multiple SKUs (public 'Testing Results' page),dry/wet,both,,https://www.wellnesspetfood.com/testing-results/,brand_level_lab_report,third-party accredited lab (AOAC; unnamed),2026-04-03,,arsenic; cadmium; lead; mercury,As 0.30; Cd 0.22; Pb 0.08; Hg 0.02 (example SKU),mg/kg,pass,brand,brand_claim,"Brand publishes a PUBLIC per-product heavy-metal results table with values + test dates (e.g. Simple Duck & Oatmeal As 0.30/Cd 0.22/Pb 0.08/Hg 0.02 mg/kg, all below NRC/FDA MTLs). Strong transparency but third-party lab unnamed and no downloadable independent COA -> graded brand_claim, values recorded.",2026-06-25,
Orijen / Acana (Champion Petfoods),Dog & cat foods (3-yr averages),dry,both,,https://championpetfoods.com/on/demandware.static/-/Sites-cpf-corp-Library/default/dw7ff1cd03/pdf/Champion%20Petfoods%20White%20Paper-Heavy%20Metals.pdf,brand_level_lab_report,two third-party labs (AOAC; unnamed),2017-05-01,,arsenic; cadmium; lead; mercury,dog As 0.89; Cd 0.09; Pb 0.23; Hg 0.02 | cat As 1.36,mg/kg,pass,brand,brand_claim,"Brand white paper (May 2017) reports 3-yr third-party AOAC averages well below NRC/FDA MTLs (dog As 0.89/Cd 0.09/Pb 0.23/Hg 0.02; cat As 1.36 mg/kg). Aggregate, dated 2017 (consider stale), labs unnamed -> brand_claim.",2026-06-25,
Open Farm,Per-lot traceability + QC lab results,dry/wet/freeze-dried,both,,https://openfarmpet.com/pages/transparency,batch_lot_coa,third-party QC lab (unnamed),,,Salmonella; E. coli; mycotoxins,,,unknown,batch,needs_review,Real lot-code traceability tool: scan/enter the bag lot code to trace ingredients and DOWNLOAD per-run QC lab results (salmonella/E.coli/mycotoxin clearance). No specific lot COA captured here; verify with a real product lot.,2026-06-25,
Stella & Chewy's,Per-lot COA lookup (Download Report),freeze-dried raw,both,,https://www.stellaandchewys.com/pages/coa,batch_lot_coa,independent lab (unnamed),,,Salmonella; E. coli,,,unknown,batch,needs_review,Real Lot ID lookup with a 'Download Report' COA per package (pathogen testing). No specific lot captured; verify with a real lot number.,2026-06-25,
Natural Balance,Per-batch results via 'Feed With Confidence',dry/wet/treats,both,,https://www.naturalbalanceinc.com/feed-with-confidence/,batch_lot_coa,ISO 17025 food labs (unnamed),,,aflatoxin; DON; fumonisin; ochratoxin; zearalenone; Salmonella; STEC E. coli,,,unknown,batch,needs_review,"Enter 10-digit UPC + 7-digit lot; a Registered Vet Tech sends batch test results (mycotoxins/pathogens) from ISO-17025 labs. Batch-specific but delivered on request, not auto-published.",2026-06-25,
Purina Pro Plan,Sensitive Skin & Stomach Salmon & Rice; Shredded Blend; +others,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Purina ONE,Lamb & Rice / Chicken & Rice / True Instinct,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Purina Dog Chow,Chicken Adult Complete,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Pedigree,Complete Nutrition,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Royal Canin,Health Nutrition Small Breed,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Cesar,Small Breed,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Iams,Proactive Health Minichunks,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Hill's Science Diet,Small & Mini (marked CLP Purity Award) + Sensitive Stomach/Perfect Weight/Puppy,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Blue Buffalo,Life Protection Formula Adult; Wilderness Natural,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Kibbles 'n Bits,Mini Bits,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Rachael Ray Nutrish,Whole Health Blend,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Nature's Recipe,Grain Free,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Diamond Naturals,Skin & Coat Salmon & Potato,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Pure Balance,Wild & Free Salmon & Pea,dry,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
JustFoodForDogs,Fresh/frozen diets (in fresh category),fresh,dog,,https://cleanlabelproject.org/dog-food-category-tested-products/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; phthalates; acrylamide; bisphenols; pesticides,,,unknown,study,needs_review,"Product NAMED in the Clean Label Project ISO-17025 study list, but per-product contaminant values are NOT publicly disclosed (only category averages). Purity NOT established for this product. Hill's Science Diet Small & Mini flagged as a CLP 'Purity Award' product.",2026-06-25,
Friskies,Wet/canned (NaturalNews 'A-3' rating),wet,cat,,https://labs.naturalnews.com/heavy-metals-chart-Foods-Pet-Foods.html,third_party_lab_summary,Natural News Forensic Food Lab (ICP-MS) - low credibility,,,lead; arsenic; mercury; cadmium,,,unknown,brand,needs_review,CREDIBILITY FLAG: NaturalNews/Forensic Food Lab gave Friskies a low-heavy-metals 'A-3' rating (numeric values email-gated). NaturalNews is not a peer-reviewed/credible scientific source; treat as unverified pending review.,2026-06-25,
Royal Canin,brand-level,mixed,both,,https://www.royalcanin.com/us/about-us/quality-and-food-safety,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Mars brand. States 100% of incoming raw materials analysed via internal lab network. No public COA.,2026-06-25,
Hill's Science Diet,brand-level,mixed,both,,https://www.avma.org/javma-news/2020-02-15/update-fda-says-hills-failed-follow-own-procedures,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Post-2019 vitamin-D recall: states it tests every vitamin premix lot via a certified third-party lab. No public COA document.,2026-06-25,
Diamond Naturals (Diamond Pet Foods),brand-level,mixed,both,,https://www.diamondpet.com/about/quality-assurance/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,"'Test and Hold' program; ISO-17025 microbiological lab; ~3,458 mycotoxin tests/week. No heavy-metal COA published; brand faces heavy-metals/BPA class action.",2026-06-25,
Kirkland Signature (Costco / made by Diamond),brand-level,mixed,both,,https://www.costco.com/sustainability-chemical-management.html,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,"Costco corporate chemical-management language (uses independent third parties), not pet-food-specific COA.",2026-06-25,
Nutro,brand-level,mixed,both,,https://www.nutro.com/about-us/pet-food-safety-and-quality,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Tests every grain shipment for mycotoxins; 600+ daily QC checks at owned facilities. No public lab values.,2026-06-25,
Merrick,brand-level,mixed,both,,https://www.merrickpetcare.com/faqs,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,SQF Level 3; USDA NOP certified kitchens. No public COA/values.,2026-06-25,
Taste of the Wild (Diamond),brand-level,mixed,both,,https://www.tasteofthewildpetfood.com/frequently-asked-questions/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Diamond 'Test and Hold'; periodic heavy-metal testing vs NRC. Prior heavy-metal lawsuits; 2012 Salmonella recall. No public values.,2026-06-25,
Weruva,brand-level,mixed,both,,https://www.weruva.com/tools/faq,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Regular batch testing for pathogens/heavy metals/mercury/histamines/PCB; BRC + ISO 9001. No public values.,2026-06-25,
Ziwi Peak,brand-level,mixed,both,,https://us.ziwipets.com/blogs/faq/what-testing-does-ziwi-peak-go-through,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,NZ MPI HACCP; lab tests all production to EU limits; publishes typical analysis only.,2026-06-25,
Instinct (Nature's Variety),brand-level,mixed,both,,https://instinctpetfood.com/faqs/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Pathogen-tests every batch + HPP; SQF certified. No public lot/COA lookup.,2026-06-25,
Fromm Family,brand-level,mixed,both,,https://frommfamily.com/about/question-and-answer/food-safety/testing-quality-and-food-safety/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Approved-supplier program + third-party finished-product pathogen testing (test-and-hold). No public values.,2026-06-25,
Victor,brand-level,mixed,both,,https://victorpetfood.com/quality-and-food-safety,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,SQF certified; every batch must test Salmonella-negative. 2023 Salmonella recall (Mid America). No public values.,2026-06-25,
Earthborn Holistic,brand-level,mixed,both,,https://www.earthbornholisticpetfood.com/quality-ingredients/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Tests incoming + finished for mycotoxins/Salmonella/melamine. 2021 Salmonella recall. No public values.,2026-06-25,
Halo,brand-level,mixed,both,,https://halopets.com/pages/halo-holistic,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,In-house + standard QC; GAP/MSC certified. 2015 cat-food mold recall. No public values.,2026-06-25,
Tiki Cat / Tiki Dog (Whitebridge),brand-level,mixed,both,,https://www.catsexclusive.com/blog/tiki-cat-safe-sustainable,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,States salmon/tuna tested for heavy metals/mercury. Retailer-relayed; no published lab reports on official site.,2026-06-25,
The Honest Kitchen,brand-level,mixed,both,,https://www.thehonestkitchen.com/pages/quality-assurance,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,"~1,500 lab tests/month; routine third-party testing for melamine/ethoxyquin/heavy metals + supplier COAs. No buyer-facing values.",2026-06-25,
I and Love and You,brand-level,mixed,both,,https://iandloveandyou.com/pages/faq,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,AAFCO feeding trials; participates in Clean Label Project. No brand-published values.,2026-06-25,
Solid Gold,brand-level,mixed,both,,https://solidgoldpet.com/pages/disclosure,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Disclosure page describes annual/biannual heavy-metal testing + links a results page that would not render -> values unverifiable; downgraded to brand_claim.,2026-06-25,
Zignature (Pets Global),brand-level,mixed,both,,https://zignature.com/faqs/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Feeding/taurine studies (Summit Ridge Partners Labs). No contaminant COA/values.,2026-06-25,
Nulo,brand-level,mixed,both,,https://nulo.com/our-standards,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,General food-safety claims only. NOTE: a search-summary claim that Nulo 'publishes full CoA per SKU' was checked against the site and NOT found -> rejected as unverified.,2026-06-25,
The Farmer's Dog,brand-level,mixed,both,,https://www.thefarmersdog.com/digest/heavy-metals-in-dog-food-what-you-need-to-know/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,States recipes get regular third-party heavy-metal testing at/below AAFCO/FDA benchmarks; cited in CLP 'Clean Sixteen' 2026. No downloadable COA/values.,2026-06-25,
Ollie,brand-level,mixed,both,,https://blog.ollie.com/pet-food-safety/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,States a COA is required for every lot (pathogens/mycotoxins/heavy metals/pesticides) but COAs are not published/downloadable.,2026-06-25,
Nom Nom,brand-level,mixed,both,,https://www.nomnomnow.com/vet/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Inspects every ingredient + tests for safety (Mars/Royal Canin standards). No public COA/values.,2026-06-25,
Smalls,brand-level,mixed,both,,https://www.smalls.com/blog/post/how-smalls-ensures-every-bite-is-safe-for-your-cat,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Cooks to temp + daily USDA/FDA facility inspection + QC. No published contaminant report.,2026-06-25,
Sundays for Dogs,brand-level,mixed,both,,https://sundaysfordogs.com/ingredients,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Air-drying kill step; USDA/FDA standards; reviews mention per-batch pathogen testing. No published COA/values.,2026-06-25,
Spot & Tango,brand-level,mixed,both,,https://www.spotandtango.com/blog/aafco-certified-dog-foods,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,"Names real labs (New Jersey Feed Lab; Midwest Laboratories) for NUTRIENT/AAFCO testing, not contaminant COAs. No downloadable report.",2026-06-25,
JustFoodForDogs,brand-level,mixed,both,,https://company.justfoodfordogs.com/faq,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,States diets passed AAFCO feeding trials at a major university + meet NRC. No downloadable COA (see separate CLP study row).,2026-06-25,
Freshpet,brand-level,mixed,both,,https://www.freshpet.com/our-commitment-to-you,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,"20+ safety tests/batch, hourly micro testing, SQF certified. No published values (see separate CLP Certified row).",2026-06-25,
Primal Pet Foods,brand-level,mixed,both,,https://www.primalpetfoods.com/pages/quality-guarantee,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Third-party 'test and hold' per lot. FDA 2023 warning letter cited documentation/pathogen-control gaps. No public COAs.,2026-06-25,
Vital Essentials,brand-level,mixed,both,,https://www.vitalessentials.com/safety-commitment,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,HACCP + GFSI FSSC22000; QC sampling. No downloadable COA/lot results.,2026-06-25,
Steve's Real Food,brand-level,mixed,both,,https://stevesrealfood.com/how-is-steves-different/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Per-batch pathogen testing + HPP + periodic nutrient panels. No published values.,2026-06-25,
Greenies,brand-level,mixed,both,,https://www.greenies.com/blogs/what-were-barking-about-greenies/the-importance-of-canine-dental-health,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Proprietary digestive-solubility safety testing; VOHC-accepted. No contaminant COA.,2026-06-25,
Milk-Bone,brand-level,mixed,both,,https://www.milkbone.com/frequently-asked-questions,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Generic quality/safety assurance language. No public COA/testing.,2026-06-25,
Pup-Peroni,brand-level,mixed,both,,https://www.pupperoni.com/faqs,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Generic quality/safety language. No public COA/testing.,2026-06-25,
Zuke's,brand-level,mixed,both,,https://www.zukes.com/faqs,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,'Hundreds of quality & safety checks.' No public COA/values.,2026-06-25,
Blue Dog Bakery,brand-level,mixed,both,,https://www.bluedogbakery.com/faq/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Sourcing/quality standards (no China sourcing). No public COA/testing.,2026-06-25,
Old Mother Hubbard (Wellness),brand-level,mixed,both,,https://www.wellnesspetfood.com/old-mother-hubbard/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Wholesome-ingredient/oven-baked marketing. No public COA/testing.,2026-06-25,
Charlee Bear,brand-level,mixed,both,,https://charleebear.com/faqs/,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,Claims per-batch purity/quality verification; an unverified review claimed QR-linked aflatoxin/salmonella tests (not found on site).,2026-06-25,
Full Moon,brand-level,mixed,both,,https://www.fullmoonpet.com/pages/full-moon-pet-faq,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,USDA/FDA human-grade kitchens. No public COA/testing values.,2026-06-25,
Bocce's Bakery,brand-level,mixed,both,,https://antelopepets.gorgias.help/en-US/have-any-of-bocces-products-ever-been-recalled-1090925,brand_marketing_claim,,,,,,,unknown,claim_only,brand_claim,States no recalls + clean/limited ingredients. No public COA/testing.,2026-06-25,
Purina Cat Chow,brand-level,mixed,cat,,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,"Checked Purina QA pages + web search; only general QA marketing, no COA. (EWG flagged its Complete Chicken packaging for PFAS - see study row.)",2026-06-25,
Fancy Feast,brand-level,mixed,cat,,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,"Checked Purina pages + web search; QA marketing only, no COA.",2026-06-25,
Beneful,brand-level,mixed,dog,,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Checked Purina pages + web search; no public COA.,2026-06-25,
Alpo,brand-level,mixed,dog,,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Checked Purina pages + web search; no public COA.,2026-06-25,
Whiskas,brand-level,mixed,cat,,https://www.royalcanin.com/us/about-us/quality-and-food-safety,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Mars brand; web search + Mars QA language; no public COA.,2026-06-25,
Sheba,brand-level,mixed,cat,,https://www.royalcanin.com/us/about-us/quality-and-food-safety,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Mars brand; no public COA found via web search.,2026-06-25,
Eukanuba,brand-level,mixed,dog,,https://en.wikipedia.org/wiki/Eukanuba,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Mars brand; web search; no public COA; not in CLP study.,2026-06-25,
Hill's Prescription Diet,brand-level,mixed,both,,https://www.avma.org/javma-news/2020-02-15/update-fda-says-hills-failed-follow-own-procedures,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Same maker as Science Diet; no public per-product COA.,2026-06-25,
Authority (PetSmart),brand-level,mixed,both,,https://cleanlabelproject.org/dog-food-category-tested-products/,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,PetSmart private label; web search + CLP list checked; no COA/lab doc.,2026-06-25,
American Journey (Chewy),brand-level,mixed,both,,https://cleanlabelproject.org/dog-food-category-tested-products/,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Chewy private label (made by Diamond); web search + CLP list checked; no public COA.,2026-06-25,
Canidae,brand-level,mixed,both,,https://www.canidae.com/,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Searched COA/heavy-metals/'Goodness verified'; only general in-house testing claims; no published reports/lot lookup.,2026-06-25,
NutriSource (KLN/Tuffy's),brand-level,mixed,both,,https://nutrisourcepetfoods.com/,no_public_coa_found,,,,,,,unknown,claim_only,no_public_coa_found,Searched COA/heavy-metals/traceability; general quality claims only; no published reports/lot lookup.,2026-06-25,
